name,is_legendary,is_creature,is_instant,is_sorcery,is_land,is_enchantment,is_planeswalker,is_artifact,cmc,first_printing,last_printing,num_printings,is_id_white,is_id_blue,is_id_black,is_id_red,is_id_green,is_standard_legal,is_commander_legal,is_modern_legal,is_pioneer_legal,is_legacy_legal,is_pauper_legal,is_reserved,is_reprint,rarity,edhrec_rank,power,toughness,set_enum,is_masters,is_booster,oracle_len,exp,pred
Angelic Curator,0,1,0,0,0,0,0,0,2.0,1999,1999,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,14225.0,1,1,2,0,1.0,33.0,0,0
Kazuul Warlord,0,1,0,0,0,0,0,0,5.0,2009,2009,1.0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,5913.0,3,3,2,0,1.0,145.0,0,0
Summoner's Pact,0,0,1,0,0,0,0,0,0.0,2007,2018,3.0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,2048.0,-5,-5,4,1,1.0,193.0,1,1
Zulaport Enforcer,0,1,0,0,0,0,0,0,1.0,2010,2010,1.0,0,0,1,0,0,0,1,1,0,1,1,0,0,4,14082.0,1,1,2,0,1.0,165.0,0,0
Game Preserve,0,0,0,0,0,1,0,0,3.0,1999,1999,1.0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,15243.0,-5,-5,2,0,1.0,200.0,0,0
Shrine of Boundless Growth,0,0,0,0,0,0,0,1,3.0,2011,2011,1.0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,11466.0,-5,-5,2,0,1.0,225.0,0,0
Ghost Ship,0,1,0,0,0,0,0,0,4.0,1994,2019,7.0,0,1,0,0,0,0,1,1,0,1,1,0,1,4,13699.0,2,2,4,1,1.0,40.0,0,0
Poison the Well,0,0,0,1,0,0,0,0,4.0,2008,2008,1.0,0,0,1,1,0,0,1,1,0,1,1,0,0,4,16506.0,-5,-5,2,0,1.0,78.0,0,0
Infinite Obliteration,0,0,0,1,0,0,0,0,3.0,2015,2015,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,15378.0,-5,-5,1,0,1.0,178.0,0,0
Saltcrusted Steppe,0,0,0,0,1,0,0,0,0.0,2006,2017,4.0,1,0,0,0,1,0,1,1,0,1,0,0,1,3,3511.0,-5,-5,3,0,0.0,173.0,0,0
Deeproot Champion,0,1,0,0,0,0,0,0,2.0,2017,2017,4.0,0,0,0,0,1,0,1,1,1,1,0,0,0,2,7027.0,1,1,2,0,1.0,80.0,0,0
Vodalian Mystic,0,1,0,0,0,0,0,0,2.0,2001,2001,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,13067.0,1,1,2,0,1.0,70.0,0,0
Indulgent Aristocrat,0,1,0,0,0,0,0,0,1.0,2016,2016,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,2143.0,1,1,2,0,1.0,84.0,0,0
"Kuro, Pitlord",1,1,0,0,0,0,0,0,9.0,2004,2014,3.0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,8097.0,9,9,6,0,0.0,143.0,0,0
Gaea's Herald,0,1,0,0,0,0,0,0,2.0,2001,2011,5.0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,3561.0,1,1,1,0,1.0,35.0,1,1
Unknown Shores,0,0,0,0,1,0,0,0,0.0,2013,2020,4.0,0,0,0,0,0,1,1,1,1,1,1,0,1,4,2378.0,-5,-5,2,0,1.0,50.0,0,0
Spell Pierce,0,0,1,0,0,0,0,0,1.0,2009,2020,5.0,0,1,0,0,0,0,1,1,1,1,1,0,1,4,696.0,-5,-5,2,0,1.0,64.0,0,0
Rain of Blades,0,0,1,0,0,0,0,0,1.0,2003,2012,3.0,1,0,0,0,0,0,1,1,0,1,0,0,1,3,17499.0,-5,-5,1,0,1.0,57.0,0,0
Plated Geopede,0,1,0,0,0,0,0,0,2.0,2009,2020,3.0,0,0,0,1,0,0,1,1,0,1,1,0,1,4,13514.0,1,1,4,1,1.0,127.0,0,0
Scent of Brine,0,0,1,0,0,0,0,0,2.0,1999,1999,1.0,0,1,0,0,0,0,1,0,0,1,1,0,0,4,14769.0,-5,-5,2,0,1.0,130.0,0,0
Koth's Courier,0,1,0,0,0,0,0,0,3.0,2011,2011,1.0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,16888.0,2,2,2,0,1.0,90.0,0,0
Clay Statue,0,1,0,0,0,0,0,1,4.0,1994,1997,6.0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,17666.0,3,3,4,1,1.0,28.0,0,0
Carrion Grub,0,1,0,0,0,0,0,0,4.0,2020,2020,1.0,0,0,1,0,0,1,1,1,1,1,0,0,0,3,14269.0,0,0,1,0,1.0,215.0,0,0
Aegis of the Meek,0,0,0,0,0,0,0,1,3.0,1995,1995,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,20225.0,-5,-5,2,0,1.0,59.0,0,0
Pyromancer's Assault,0,0,0,0,0,1,0,0,4.0,2016,2016,1.0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,11707.0,-5,-5,2,0,1.0,97.0,0,0
Jwari Scuttler,0,1,0,0,0,0,0,0,3.0,2010,2010,1.0,0,1,0,0,0,0,1,1,0,1,1,0,0,4,14401.0,2,2,2,0,1.0,0.0,0,0
Sages of the Anima,0,1,0,0,0,0,0,0,5.0,2009,2009,1.0,0,1,0,0,1,0,1,1,0,1,0,0,0,2,10738.0,3,3,2,0,1.0,190.0,0,0
Redirect,0,0,1,0,0,0,0,0,2.0,2010,2012,3.0,0,1,0,0,0,0,1,1,0,1,0,0,1,2,4549.0,-5,-5,1,0,1.0,44.0,0,1
Liquid Fire,0,0,0,1,0,0,0,0,6.0,2001,2001,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,19775.0,-5,-5,2,0,1.0,202.0,0,0
Mercenaries,0,1,0,0,0,0,0,0,4.0,1995,1995,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,20319.0,3,3,2,0,1.0,125.0,0,0
Kolaghan's Command,0,0,1,0,0,0,0,0,3.0,2015,2019,3.0,0,0,1,1,0,0,1,1,1,1,0,0,0,2,2702.0,-5,-5,2,0,1.0,187.0,1,0
Thunder of Hooves,0,0,0,1,0,0,0,0,4.0,2002,2002,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,18697.0,-5,-5,2,0,1.0,133.0,0,0
Gisa's Bidding,0,0,0,1,0,0,0,0,4.0,2016,2016,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,5346.0,-5,-5,2,0,1.0,183.0,0,0
Firebolt,0,0,0,1,0,0,0,0,1.0,2001,2019,8.0,0,0,0,1,0,0,1,1,0,1,1,0,1,3,7755.0,-5,-5,7,0,1.0,139.0,0,0
Terror,0,0,1,0,0,0,0,0,2.0,1993,2011,21.0,0,0,1,0,0,0,1,1,0,1,1,0,1,4,5820.0,-5,-5,4,1,1.0,71.0,0,0
Pristine Angel,0,1,0,0,0,0,0,0,6.0,2004,2019,3.0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,6895.0,4,4,3,0,0.0,156.0,0,0
Goblin War Wagon,0,1,0,0,0,0,0,1,4.0,2003,2003,1.0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,19409.0,3,3,2,0,1.0,139.0,0,0
Ravenous Gigantotherium,0,1,0,0,0,0,0,0,7.0,2020,2020,1.0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,11618.0,3,3,3,0,0.0,402.0,0,0
Rule of Law,0,0,0,0,0,1,0,0,3.0,2003,2019,3.0,1,0,0,0,0,0,1,1,1,1,0,0,1,3,2047.0,-5,-5,1,0,1.0,53.0,0,0
Nectar Faerie,0,1,0,0,0,0,0,0,2.0,2007,2007,1.0,0,0,1,0,0,0,1,1,0,1,0,0,0,3,10146.0,1,1,2,0,1.0,153.0,0,0
Sickening Shoal,0,0,1,0,0,0,0,0,2.0,2005,2005,1.0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,10685.0,-5,-5,2,0,1.0,154.0,1,0
Royal Decree,0,0,0,0,0,1,0,0,4.0,1996,1996,1.0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,13629.0,-5,-5,4,1,1.0,309.0,0,1
"Kazuul, Tyrant of the Cliffs",1,1,0,0,0,0,0,0,5.0,2010,2016,2.0,0,0,0,1,0,0,1,1,0,1,0,0,1,2,1161.0,5,5,3,0,0.0,162.0,1,1
Shock Troops,0,1,0,0,0,0,0,0,4.0,1999,2003,2.0,0,0,0,1,0,0,1,1,0,1,1,0,1,4,19305.0,2,2,1,0,1.0,56.0,0,0
True Love's Kiss,0,0,1,0,0,0,0,0,4.0,2019,2019,1.0,1,0,0,0,0,1,1,1,1,1,1,0,0,4,7560.0,-5,-5,2,0,1.0,50.0,0,0
Crosis's Charm,0,0,1,0,0,0,0,0,3.0,2001,2019,4.0,0,1,1,1,0,0,1,0,0,1,0,0,1,3,1735.0,-5,-5,3,0,0.0,147.0,0,0
Evernight Shade,0,1,0,0,0,0,0,0,4.0,2012,2014,2.0,0,0,1,0,0,0,1,1,0,1,0,0,1,3,7362.0,1,1,3,0,0.0,203.0,0,0
Rukh Egg,0,1,0,0,0,0,0,0,4.0,1993,2005,4.0,0,0,0,1,0,0,1,1,0,1,1,0,1,2,8236.0,0,0,1,0,1.0,107.0,0,0
Crucible of Fire,0,0,0,0,0,1,0,0,4.0,2008,2017,5.0,0,0,0,1,0,0,1,1,1,1,0,0,1,2,1896.0,-5,-5,4,1,1.0,39.0,0,0
Hobblefiend,0,1,0,0,0,0,0,0,2.0,2020,2020,1.0,0,0,0,1,0,1,1,1,1,1,1,0,0,4,13347.0,2,2,1,0,1.0,168.0,0,0
Grave Consequences,0,0,1,0,0,0,0,0,2.0,2002,2002,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,14611.0,-5,-5,2,0,1.0,140.0,0,0
Empty the Warrens,0,0,0,1,0,0,0,0,4.0,2006,2017,3.0,0,0,0,1,0,0,1,1,0,1,0,0,1,4,1750.0,-5,-5,6,0,0.0,125.0,0,0
Wandering Ones,0,1,0,0,0,0,0,0,1.0,2004,2004,1.0,0,1,0,0,0,0,1,1,0,1,1,0,0,4,18283.0,1,1,2,0,1.0,0.0,0,0
Walking Wall,0,1,0,0,0,0,0,1,4.0,1995,2001,2.0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,13524.0,0,0,4,1,1.0,158.0,0,0
Mourning Thrull,0,1,0,0,0,0,0,0,2.0,2006,2006,1.0,1,0,1,0,0,0,1,1,0,1,1,0,0,4,15048.0,1,1,2,0,1.0,114.0,0,0
Benevolent Bodyguard,0,1,0,0,0,0,0,0,1.0,2002,2016,2.0,1,0,0,0,0,0,1,0,0,1,1,0,1,4,6285.0,1,1,4,1,1.0,125.0,0,0
"Arlinn, Voice of the Pack",1,0,0,0,0,0,1,0,6.0,2019,2020,5.0,0,0,0,0,1,0,1,1,1,1,0,0,0,3,5553.0,-5,-5,2,0,1.0,160.0,0,0
Mystic Confluence,0,0,1,0,0,0,0,0,5.0,2015,2019,4.0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,416.0,-5,-5,7,0,1.0,174.0,1,1
Relentless Rats,0,1,0,0,0,0,0,0,3.0,2004,2021,8.0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,6358.0,2,2,4,1,0.0,151.0,1,0
Quirion Elves,0,1,0,0,0,0,0,0,2.0,1996,2010,4.0,0,0,0,0,1,0,1,0,0,1,1,0,1,4,3441.0,1,1,6,0,0.0,109.0,0,0
Auntie's Hovel,0,0,0,0,1,0,0,0,0.0,2007,2007,1.0,0,0,1,1,0,0,1,1,0,1,0,0,0,2,6994.0,-5,-5,2,0,1.0,167.0,1,1
Undead Minotaur,0,1,0,0,0,0,0,0,3.0,2013,2013,1.0,0,0,1,0,0,0,1,1,1,1,1,0,0,4,14942.0,2,2,1,0,1.0,0.0,0,0
Silverflame Squire // On Alert,0,1,1,0,0,0,0,0,2.0,2019,2019,2.0,1,0,0,0,0,1,1,1,1,1,1,0,0,4,12304.0,2,2,2,0,1.0,0.0,0,0
Spirit Link,0,0,0,0,0,1,0,0,1.0,1994,2007,13.0,1,0,0,0,0,0,1,1,0,1,0,0,1,3,6304.0,-5,-5,1,0,1.0,181.0,0,0
Conclave's Blessing,0,0,0,0,0,1,0,0,4.0,2005,2005,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,12480.0,-5,-5,2,0,1.0,232.0,0,0
Advantageous Proclamation,0,0,0,0,0,0,0,0,0.0,2014,2014,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20000.0,-5,-5,7,0,1.0,109.0,0,0
Fetid Pools,0,0,0,0,1,0,0,0,0.0,2017,2017,2.0,0,1,1,0,0,0,1,1,1,1,0,0,0,2,462.0,-5,-5,2,0,1.0,116.0,1,1
Energy Tap,0,0,0,1,0,0,0,0,1.0,1994,1995,4.0,0,1,0,0,0,0,1,0,0,1,1,0,1,4,9639.0,-5,-5,1,0,1.0,119.0,0,0
Voracious Hatchling,0,1,0,0,0,0,0,0,4.0,2008,2008,1.0,1,0,1,0,0,0,1,1,0,1,0,0,0,3,15282.0,6,6,2,0,1.0,247.0,0,0
Guise of Fire,0,0,0,0,0,1,0,0,1.0,2012,2012,1.0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,16785.0,-5,-5,2,0,1.0,79.0,0,0
Carrion Call,0,0,1,0,0,0,0,0,4.0,2010,2010,1.0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,7661.0,-5,-5,2,0,1.0,165.0,0,0
Dungrove Elder,0,1,0,0,0,0,0,0,3.0,2011,2019,3.0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,5376.0,-3,-3,1,0,1.0,181.0,0,0
Bounty Hunter,0,1,0,0,0,0,0,0,4.0,1997,1997,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,6942.0,2,2,2,0,1.0,112.0,1,1
Hidden Strings,0,0,0,1,0,0,0,0,2.0,2013,2013,1.0,0,1,0,0,0,0,1,1,1,1,1,0,0,4,6389.0,-5,-5,2,0,1.0,306.0,0,0
Wu Admiral,0,1,0,0,0,0,0,0,5.0,1999,1999,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,20071.0,3,3,5,0,1.0,64.0,0,1
Kinsbaile Skirmisher,0,1,0,0,0,0,0,0,2.0,2007,2015,3.0,1,0,0,0,0,0,1,1,1,1,1,0,1,4,15325.0,2,2,6,0,0.0,95.0,0,0
Voiceless Spirit,0,1,0,0,0,0,0,0,3.0,2011,2011,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,16174.0,2,2,2,0,1.0,20.0,0,0
Shimmering Mirage,0,0,1,0,0,0,0,0,2.0,2001,2001,1.0,0,1,0,0,0,0,1,0,0,1,1,0,0,4,18392.0,-5,-5,2,0,1.0,86.0,0,0
Icefall,0,0,0,1,0,0,0,0,4.0,2006,2006,1.0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,8500.0,-5,-5,2,0,1.0,224.0,0,0
Zelyon Sword,0,0,0,0,0,0,0,1,3.0,1994,1994,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,18578.0,-5,-5,2,0,1.0,145.0,0,1
Monk Realist,0,1,0,0,0,0,0,0,2.0,1998,2011,2.0,1,0,0,0,0,0,1,0,0,1,1,0,1,4,11349.0,1,1,3,0,0.0,69.0,0,0
Apocalypse Demon,0,1,0,0,0,0,0,0,6.0,2017,2017,2.0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,7717.0,-3,-3,2,0,1.0,195.0,0,0
Take Up Arms,0,0,1,0,0,0,0,0,5.0,2014,2018,2.0,1,0,0,0,0,0,1,1,1,1,0,0,1,3,12470.0,-5,-5,7,0,1.0,47.0,0,0
Benalish Veteran,0,1,0,0,0,0,0,0,3.0,2011,2011,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,19198.0,2,2,1,0,1.0,67.0,0,0
Thallid,0,1,0,0,0,0,0,0,1.0,1994,2013,6.0,0,0,0,0,1,0,1,1,0,1,1,0,1,4,4706.0,1,1,4,1,1.0,151.0,0,0
Deathpact Angel,0,1,0,0,0,0,0,0,6.0,2013,2019,2.0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,7523.0,5,5,2,0,1.0,214.0,0,0
Spellshift,0,0,1,0,0,0,0,0,4.0,2007,2007,1.0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,15484.0,-5,-5,2,0,1.0,246.0,0,0
Svyelunite Temple,0,0,0,0,1,0,0,0,0.0,1994,2000,4.0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,8643.0,-5,-5,4,1,1.0,108.0,0,0
Boros Cluestone,0,0,0,0,0,0,0,1,3.0,2013,2018,3.0,1,0,0,1,0,0,1,1,1,1,1,0,1,4,2683.0,-5,-5,3,0,0.0,73.0,0,0
Ram Through,0,0,1,0,0,0,0,0,2.0,2020,2020,1.0,0,0,0,0,1,1,1,1,1,1,1,0,0,4,6106.0,-5,-5,2,0,1.0,200.0,0,0
Harrier Naga,0,1,0,0,0,0,0,0,3.0,2017,2017,1.0,0,0,0,0,1,0,1,1,1,1,1,0,0,4,18197.0,3,3,2,0,1.0,0.0,0,0
Darkheart Sliver,0,1,0,0,0,0,0,0,2.0,2007,2007,1.0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,5965.0,2,2,2,0,1.0,61.0,1,0
Sensei's Divining Top,0,0,0,0,0,0,0,1,1.0,2004,2016,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,63.0,-5,-5,4,1,1.0,162.0,1,1
Kobold Overlord,0,1,0,0,0,0,0,0,2.0,1994,1994,1.0,0,0,0,1,0,0,1,0,0,1,0,1,1,3,18079.0,1,1,4,1,1.0,66.0,1,1
Phoenix of Ash,0,1,0,0,0,0,0,0,3.0,2020,2020,4.0,0,0,0,1,0,1,1,1,1,1,0,0,0,2,10046.0,2,2,2,0,1.0,246.0,0,0
Spontaneous Artist,0,1,0,0,0,0,0,0,4.0,2016,2016,1.0,0,0,0,1,0,0,1,1,1,1,1,0,0,4,13365.0,3,3,2,0,1.0,136.0,0,0
Visions,0,0,0,1,0,0,0,0,1.0,1994,1995,4.0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,17771.0,-5,-5,1,0,1.0,106.0,0,0
Venerated Teacher,0,1,0,0,0,0,0,0,3.0,2010,2010,1.0,0,1,0,0,0,0,1,1,0,1,1,0,0,4,14841.0,2,2,2,0,1.0,113.0,0,0
Fork,0,0,1,0,0,0,0,0,2.0,1993,1994,6.0,0,0,0,1,0,0,1,0,0,1,0,1,1,2,3326.0,-5,-5,4,1,1.0,107.0,1,1
Altar of the Brood,0,0,0,0,0,0,0,1,1.0,2014,2015,2.0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,770.0,-5,-5,2,0,1.0,97.0,1,1
Kargan Intimidator,0,1,0,0,0,0,0,0,2.0,2020,2020,4.0,0,0,0,1,0,1,1,1,1,1,0,0,0,2,19767.0,3,3,2,0,1.0,236.0,0,0
Ebony Horse,0,0,0,0,0,0,0,1,3.0,1993,1995,6.0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,13385.0,-5,-5,4,1,1.0,141.0,0,0
Faerie Mechanist,0,1,0,0,0,0,0,1,4.0,2009,2020,8.0,0,1,0,0,0,0,1,1,0,1,1,0,1,4,8585.0,2,2,4,1,1.0,229.0,0,0
Mirror Wall,0,1,0,0,0,0,0,0,4.0,2002,2002,1.0,1,1,0,0,0,0,1,0,0,1,1,0,0,4,15393.0,3,3,2,0,1.0,111.0,0,0
Warrior's Charge,0,0,0,1,0,0,0,0,3.0,1997,1997,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,20217.0,-5,-5,5,0,1.0,50.0,0,0
Volition Reins,0,0,0,0,0,1,0,0,6.0,2010,2010,1.0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,7097.0,-5,-5,2,0,1.0,138.0,0,0
Narrow Escape,0,0,1,0,0,0,0,0,3.0,2009,2010,2.0,1,0,0,0,0,0,1,1,0,1,1,0,1,4,14823.0,-5,-5,6,0,0.0,73.0,0,0
Pegasus Courser,0,1,0,0,0,0,0,0,3.0,2018,2019,3.0,1,0,0,0,0,0,1,1,1,1,1,0,1,4,11585.0,1,1,1,0,1.0,106.0,0,0
"Ormos, Archive Keeper",1,1,0,0,0,0,0,0,6.0,2020,2020,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,12385.0,5,5,7,0,1.0,198.0,1,1
Revenant,0,1,0,0,0,0,0,0,5.0,1998,2019,5.0,0,0,1,0,0,0,1,1,1,1,0,0,1,3,9699.0,-3,-3,1,0,1.0,103.0,0,0
Thalia's Lieutenant,0,1,0,0,0,0,0,0,2.0,2016,2020,3.0,1,0,0,0,0,0,1,1,1,1,0,0,1,2,3531.0,1,1,3,0,0.0,211.0,0,0
