name,is_legendary,is_creature,is_instant,is_sorcery,is_land,is_enchantment,is_planeswalker,is_artifact,cmc,first_printing,last_printing,num_printings,is_id_white,is_id_blue,is_id_black,is_id_red,is_id_green,is_standard_legal,is_commander_legal,is_modern_legal,is_pioneer_legal,is_legacy_legal,is_pauper_legal,is_reserved,is_reprint,rarity,edhrec_rank,power,toughness,exp,price,set_enum,is_booster
Abomination of Gudul,0,1,0,0,0,0,0,0,6.0,2014,2014,1.0,0,1,1,0,1,0,1,1,1,1,1,0,0,4,14718.0,3,3,0,0.05,2,1.0
Aboroth,0,1,0,0,0,0,0,0,6.0,1997,1997,1.0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,13602.0,9,9,0,0.71,2,1.0
Aboshan's Desire,0,0,0,0,0,1,0,0,1.0,2001,2001,1.0,0,1,0,0,0,0,1,0,0,1,1,0,0,4,11381.0,-5,-5,0,0.17,2,1.0
"Aboshan, Cephalid Emperor",1,1,0,0,0,0,0,0,6.0,2001,2001,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,10139.0,3,3,0,0.7,2,1.0
About Face,0,0,1,0,0,0,0,0,1.0,1999,1999,1.0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,16022.0,-5,-5,0,0.14,2,1.0
Abrade,0,0,1,0,0,0,0,0,2.0,2017,2020,4.0,0,0,0,1,0,0,1,1,1,1,1,0,1,4,1112.0,-5,-5,0,0.25,4,1.0
Abrupt Decay,0,0,1,0,0,0,0,0,2.0,2012,2018,4.0,0,0,1,0,1,0,1,1,1,1,0,0,1,2,470.0,-5,-5,1,5.35,4,1.0
Absolute Grace,0,0,0,0,0,1,0,0,2.0,1998,1998,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,10522.0,-5,-5,0,0.47,2,1.0
Absolute Law,0,0,0,0,0,1,0,0,2.0,1998,1998,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,12645.0,-5,-5,0,0.41,2,1.0
Absolver Thrull,0,1,0,0,0,0,0,0,4.0,2006,2006,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,14469.0,2,2,0,0.07,2,1.0
Absorb,0,0,1,0,0,0,0,0,3.0,2000,2019,4.0,1,1,0,0,0,0,1,1,1,1,0,0,1,2,3179.0,-5,-5,0,0.49,2,1.0
Absorb Vis,0,0,0,1,0,0,0,0,7.0,2009,2019,5.0,0,0,1,0,0,0,1,1,0,1,1,0,1,4,11782.0,-5,-5,0,0.05,7,1.0
Abstruse Interference,0,0,1,0,0,0,0,0,3.0,2016,2016,1.0,0,1,0,0,0,0,1,1,1,1,1,0,0,4,10562.0,-5,-5,0,0.06,2,1.0
Abu Ja'far,0,1,0,0,0,0,0,0,1.0,1993,1995,3.0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,13526.0,0,0,0,0.23,4,1.0
Abuna Acolyte,0,1,0,0,0,0,0,0,2.0,2010,2010,1.0,1,0,0,0,0,0,1,1,0,1,0,0,0,3,16023.0,1,1,0,0.09,2,1.0
Abuna's Chant,0,0,1,0,0,0,0,0,4.0,2004,2004,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,15571.0,-5,-5,0,0.05,2,1.0
Abundance,0,0,0,0,0,1,0,0,4.0,1998,2017,4.0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,1081.0,-5,-5,1,1.46,3,0.0
Abundant Growth,0,0,0,0,0,1,0,0,1.0,2012,2019,3.0,0,0,0,0,1,0,1,1,0,1,1,0,1,4,3323.0,-5,-5,0,0.26,4,1.0
Abundant Maw,0,1,0,0,0,0,0,0,8.0,2016,2016,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,13333.0,6,6,0,0.08,2,1.0
Abyssal Gatekeeper,0,1,0,0,0,0,0,0,2.0,1997,2014,3.0,0,0,1,0,0,0,1,0,0,1,1,0,1,4,5501.0,1,1,0,0.27,6,0.0
Abyssal Horror,0,1,0,0,0,0,0,0,6.0,1998,2001,3.0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,15005.0,2,2,0,0.27,1,1.0
Abyssal Hunter,0,1,0,0,0,0,0,0,4.0,1996,1999,2.0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,15793.0,1,1,0,0.26,1,1.0
Abyssal Nightstalker,0,1,0,0,0,0,0,0,4.0,1998,1998,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,18580.0,2,2,0,0.38,5,1.0
Abyssal Nocturnus,0,1,0,0,0,0,0,0,3.0,2006,2006,1.0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,9650.0,2,2,1,1.15,2,1.0
Abyssal Persecutor,0,1,0,0,0,0,0,0,4.0,2010,2017,3.0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,5774.0,6,6,0,0.44,4,1.0
Abyssal Specter,0,1,0,0,0,0,0,0,4.0,1995,2017,12.0,0,0,1,0,0,0,1,1,0,1,0,0,1,3,7829.0,2,2,0,0.1,4,1.0
Abzan Advantage,0,0,1,0,0,0,0,0,2.0,2015,2015,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,12372.0,-5,-5,0,0.06,2,1.0
Abzan Ascendancy,0,0,0,0,0,1,0,0,3.0,2014,2020,3.0,1,0,1,0,1,0,1,1,1,1,0,0,1,2,3367.0,-5,-5,0,0.21,3,0.0
Abzan Banner,0,0,0,0,0,0,0,1,3.0,2014,2014,1.0,1,0,1,0,1,0,1,1,1,1,1,0,0,4,5772.0,-5,-5,0,0.11,2,1.0
Abzan Battle Priest,0,1,0,0,0,0,0,0,4.0,2014,2017,2.0,1,0,0,0,0,0,1,1,1,1,0,0,1,3,3499.0,3,3,0,0.12,4,1.0
Abzan Beastmaster,0,1,0,0,0,0,0,0,3.0,2015,2015,2.0,0,0,0,0,1,0,1,1,1,1,0,0,0,3,3945.0,2,2,0,0.11,2,1.0
Abzan Charm,0,0,1,0,0,0,0,0,3.0,2014,2020,4.0,1,0,1,0,1,0,1,1,1,1,0,0,1,3,1589.0,-5,-5,0,0.13,3,0.0
Abzan Falconer,0,1,0,0,0,0,0,0,3.0,2014,2019,5.0,1,0,0,0,0,0,1,1,1,1,0,0,1,3,2230.0,2,2,0,0.13,3,0.0
Abzan Guide,0,1,0,0,0,0,0,0,6.0,2014,2019,2.0,1,0,1,0,1,0,1,1,1,1,1,0,0,4,15876.0,4,4,0,0.06,2,1.0
Abzan Kin-Guard,0,1,0,0,0,0,0,0,4.0,2015,2015,1.0,0,0,0,0,1,0,1,1,1,1,0,0,0,3,16650.0,3,3,0,0.08,2,1.0
Abzan Runemark,0,0,0,0,0,1,0,0,3.0,2015,2019,2.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,11928.0,-5,-5,0,0.07,2,1.0
Abzan Skycaptain,0,1,0,0,0,0,0,0,4.0,2015,2015,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,13437.0,2,2,0,0.04,2,1.0
Academy Drake,0,1,0,0,0,0,0,0,3.0,2018,2018,1.0,0,1,0,0,0,0,1,1,1,1,1,0,0,4,16436.0,2,2,0,0.04,2,1.0
Academy Elite,0,1,0,0,0,0,0,0,4.0,2014,2016,2.0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,8532.0,0,0,0,0.15,3,0.0
Academy Journeymage,0,1,0,0,0,0,0,0,5.0,2018,2019,2.0,0,1,0,0,0,0,1,1,1,1,1,0,0,4,9597.0,3,3,0,0.04,2,1.0
Academy Raider,0,1,0,0,0,0,0,0,3.0,2013,2013,1.0,0,0,0,1,0,0,1,1,1,1,1,0,0,4,11264.0,1,1,0,0.09,1,1.0
Academy Rector,0,1,0,0,0,0,0,0,4.0,1999,1999,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,1709.0,1,1,1,70.67,2,1.0
Academy Researchers,0,1,0,0,0,0,0,0,3.0,1998,2007,2.0,0,1,0,0,0,0,1,1,0,1,0,0,1,3,11181.0,2,2,0,0.24,1,1.0
Academy Ruins,1,0,0,0,1,0,0,0,0.0,2006,2020,4.0,0,1,0,0,0,0,1,1,0,1,0,0,1,2,502.0,-5,-5,1,6.86,4,1.0
Accelerate,0,0,1,0,0,0,0,0,2.0,2002,2002,1.0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,4102.0,-5,-5,0,0.77,2,1.0
Accelerated Mutation,0,0,1,0,0,0,0,0,5.0,2003,2003,1.0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,14945.0,-5,-5,0,0.09,2,1.0
Acceptable Losses,0,0,0,1,0,0,0,0,4.0,2001,2001,1.0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,18713.0,-5,-5,0,0.13,2,1.0
Acclaimed Contender,0,1,0,0,0,0,0,0,3.0,2019,2019,4.0,1,0,0,0,0,1,1,1,1,1,0,0,0,2,4594.0,3,3,0,0.33,2,1.0
Accomplished Automaton,0,1,0,0,0,0,0,1,7.0,2016,2020,2.0,0,0,0,0,0,0,1,1,1,1,1,0,1,4,12534.0,5,5,0,0.05,4,1.0
Accorder Paladin,0,1,0,0,0,0,0,0,2.0,2011,2011,1.0,1,0,0,0,0,0,1,1,0,1,0,0,0,3,7951.0,3,3,0,0.15,2,1.0
Accorder's Shield,0,0,0,0,0,0,0,1,0.0,2010,2013,2.0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,3860.0,-5,-5,0,0.14,1,1.0
Accumulated Knowledge,0,0,1,0,0,0,0,0,2.0,2000,2018,4.0,0,1,0,0,0,0,1,0,0,1,1,0,1,4,16746.0,-5,-5,0,0.18,4,1.0
Accursed Centaur,0,1,0,0,0,0,0,0,1.0,2002,2002,1.0,0,0,1,0,0,0,1,0,0,1,1,0,0,4,14318.0,2,2,0,0.13,2,1.0
Accursed Horde,0,1,0,0,0,0,0,0,4.0,2017,2019,2.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,8814.0,3,3,0,0.08,2,1.0
Accursed Spirit,0,1,0,0,0,0,0,0,4.0,2013,2019,3.0,0,0,1,0,0,0,1,1,1,1,1,0,1,4,15220.0,3,3,0,0.01,1,1.0
Accursed Witch // Infectious Curse,0,1,0,0,0,1,0,0,4.0,2016,2016,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,5489.0,-5,-5,0,0.19,2,1.0
Acid Rain,0,0,0,1,0,0,0,0,4.0,1994,1994,1.0,0,1,0,0,0,0,1,0,0,1,0,1,1,2,15221.0,-5,-5,1,41.53,4,1.0
Acid Web Spider,0,1,0,0,0,0,0,0,5.0,2010,2010,1.0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,8771.0,3,3,0,0.13,2,1.0
Acid-Spewer Dragon,0,1,0,0,0,0,0,0,6.0,2015,2015,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,10349.0,3,3,0,0.13,2,1.0
Acidic Dagger,0,0,0,0,0,0,0,1,4.0,1996,1996,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,19021.0,-5,-5,0,0.45,2,1.0
Acidic Slime,0,1,0,0,0,0,0,0,5.0,2009,2020,15.0,0,0,0,0,1,0,1,1,0,1,0,0,1,3,98.0,2,2,0,0.26,3,0.0
Acidic Sliver,0,1,0,0,0,0,0,0,2.0,1998,2009,2.0,0,0,1,1,0,0,1,0,0,1,0,0,1,3,7393.0,2,2,0,0.43,4,1.0
Acidic Soil,0,0,0,1,0,0,0,0,3.0,1998,1998,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,4343.0,-5,-5,1,3.65,2,1.0
Acolyte of Affliction,0,1,0,0,0,0,0,0,4.0,2020,2020,1.0,0,0,1,0,1,1,1,1,1,1,0,0,0,3,5017.0,2,2,0,0.07,2,1.0
Acolyte of Xathrid,0,1,0,0,0,0,0,0,1.0,2009,2011,2.0,0,0,1,0,0,0,1,1,0,1,1,0,0,4,15794.0,0,0,0,0.16,1,1.0
Acolyte of the Inferno,0,1,0,0,0,0,0,0,3.0,2015,2015,1.0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,16094.0,3,3,0,0.08,1,1.0
Acolyte's Reward,0,0,1,0,0,0,0,0,2.0,2014,2014,1.0,1,0,0,0,0,0,1,1,1,1,0,0,0,3,12092.0,-5,-5,0,0.13,2,1.0
Acorn Catapult,0,0,0,0,0,0,0,1,4.0,2011,2020,2.0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,8535.0,-5,-5,1,4.83,4,1.0
Acorn Harvest,0,0,0,1,0,0,0,0,4.0,2002,2002,1.0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,10549.0,-5,-5,0,0.25,2,1.0
Acquire,0,0,0,1,0,0,0,0,5.0,2004,2014,2.0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,3671.0,-5,-5,1,2.46,2,1.0
Acquisitions Expert,0,1,0,0,0,0,0,0,2.0,2020,2020,1.0,0,0,1,0,0,1,1,1,1,1,0,0,0,3,18714.0,1,1,0,0.21,2,1.0
Acridian,0,1,0,0,0,0,0,0,2.0,1998,1998,1.0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,19700.0,2,2,0,0.11,2,1.0
Acrobatic Maneuver,0,0,1,0,0,0,0,0,3.0,2016,2019,2.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,3834.0,-5,-5,0,0.1,2,1.0
Act of Aggression,0,0,1,0,0,0,0,0,5.0,2011,2015,2.0,0,0,0,1,0,0,1,1,0,1,0,0,1,3,4205.0,-5,-5,0,0.2,3,0.0
Act of Authority,0,0,0,0,0,1,0,0,3.0,2013,2013,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,3508.0,-5,-5,1,1.77,3,0.0
Act of Heroism,0,0,1,0,0,0,0,0,2.0,2017,2018,2.0,1,0,0,0,0,0,1,1,1,1,1,0,1,4,10106.0,-5,-5,0,0.05,4,1.0
Act of Treason,0,0,0,1,0,0,0,0,3.0,2009,2020,16.0,0,0,0,1,0,0,1,1,1,1,1,0,1,4,2929.0,-5,-5,0,0.02,7,1.0
Act on Impulse,0,0,0,1,0,0,0,0,3.0,2014,2019,2.0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,9371.0,-5,-5,0,0.11,1,1.0
Active Volcano,0,0,1,0,0,0,0,0,1.0,1994,1995,2.0,0,0,0,1,0,0,1,0,0,1,1,0,1,3,12452.0,-5,-5,0,0.12,4,1.0
Ad Nauseam,0,0,1,0,0,0,0,0,5.0,2008,2020,2.0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,881.0,-5,-5,1,5.1,4,1.0
Adamant Will,0,0,1,0,0,0,0,0,2.0,2018,2018,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,4501.0,-5,-5,0,0.08,2,1.0
"Adamaro, First to Desire",1,1,0,0,0,0,0,0,3.0,2005,2005,1.0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,10181.0,-3,-3,0,0.69,2,1.0
Adanto Vanguard,0,1,0,0,0,0,0,0,2.0,2017,2019,2.0,1,0,0,0,0,0,1,1,1,1,0,0,0,3,5982.0,1,1,0,0.17,2,1.0
Adaptive Automaton,0,1,0,0,0,0,0,1,3.0,2011,2020,3.0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,1279.0,2,2,1,1.35,4,1.0
Adaptive Shimmerer,0,1,0,0,0,0,0,0,5.0,2020,2020,1.0,0,0,0,0,0,1,1,1,1,1,1,0,0,4,17659.0,0,0,0,0.02,2,1.0
Adaptive Snapjaw,0,1,0,0,0,0,0,0,5.0,2013,2013,1.0,0,0,0,0,1,0,1,1,1,1,1,0,0,4,13179.0,6,6,0,0.07,2,1.0
Adarkar Sentinel,0,1,0,0,0,0,0,1,5.0,1995,1995,1.0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,20223.0,3,3,0,0.18,4,1.0
Adarkar Unicorn,0,1,0,0,0,0,0,0,3.0,1995,1995,1.0,1,1,0,0,0,0,1,0,0,1,1,0,0,4,18424.0,2,2,0,0.08,2,1.0
Adarkar Valkyrie,0,1,0,0,0,0,0,0,6.0,2006,2018,4.0,1,0,0,0,0,0,1,1,0,1,0,0,1,2,2529.0,4,4,0,0.43,3,0.0
Adarkar Wastes,0,0,0,0,1,0,0,0,0.0,1995,2007,6.0,1,1,0,0,0,0,1,1,0,1,0,0,1,2,590.0,-5,-5,1,6.65,1,1.0
Adarkar Windform,0,1,0,0,0,0,0,0,5.0,2006,2006,1.0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,14132.0,3,3,0,0.13,2,1.0
Adder-Staff Boggart,0,1,0,0,0,0,0,0,2.0,2007,2007,1.0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,16839.0,2,2,0,0.11,2,1.0
Addle,0,0,0,1,0,0,0,0,2.0,2000,2000,1.0,0,0,1,0,0,0,1,0,0,1,1,0,1,4,14470.0,-5,-5,0,0.17,4,1.0
"Adeliz, the Cinder Wind",1,1,0,0,0,0,0,0,3.0,2018,2018,2.0,0,1,0,1,0,0,1,1,1,1,0,0,0,3,4805.0,2,2,0,0.19,2,1.0
Adherent of Hope,0,1,0,0,0,0,0,0,2.0,2020,2020,1.0,1,0,0,0,0,1,1,1,1,1,1,0,0,4,20224.0,2,2,0,0.28,1,0.0
Admiral Beckett Brass,1,1,0,0,0,0,0,0,4.0,2017,2017,2.0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,4029.0,3,3,0,0.88,2,1.0
Admiral's Order,0,0,1,0,0,0,0,0,3.0,2018,2018,3.0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,5586.0,-5,-5,0,0.25,2,1.0
Admonition Angel,0,1,0,0,0,0,0,0,6.0,2010,2020,2.0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,4577.0,6,6,1,9.98,2,1.0
Adorned Pouncer,0,1,0,0,0,0,0,0,2.0,2017,2019,4.0,1,0,0,0,0,0,1,1,1,1,0,0,0,2,2941.0,1,1,0,0.65,2,1.0
Adriana's Valor,0,0,0,0,0,0,0,0,0.0,2016,2016,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,20000.0,-5,-5,0,0.05,7,1.0
"Adriana, Captain of the Guard",1,1,0,0,0,0,0,0,5.0,2016,2020,2.0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,3244.0,4,4,0,0.31,3,0.0
Adun Oakenshield,1,1,0,0,0,0,0,0,3.0,1994,1994,1.0,0,0,1,1,1,0,1,0,0,1,0,1,1,2,11622.0,1,1,1,59.6,4,1.0
Advance Scout,0,1,0,0,0,0,0,0,2.0,1997,1999,2.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,15420.0,1,1,0,0.09,2,1.0
Advanced Hoverguard,0,1,0,0,0,0,0,0,4.0,2004,2004,1.0,0,1,0,0,0,0,1,1,0,1,1,0,0,4,16840.0,2,2,0,0.03,2,1.0
Advanced Stitchwing,0,1,0,0,0,0,0,0,5.0,2016,2018,2.0,0,1,0,0,0,0,1,1,1,1,0,0,0,3,10708.0,3,3,0,0.08,2,1.0
Advantageous Proclamation,0,0,0,0,0,0,0,0,0.0,2014,2014,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20000.0,-5,-5,0,0.17,7,1.0
Advent of the Wurm,0,0,1,0,0,0,0,0,4.0,2013,2018,3.0,1,0,0,0,1,0,1,1,1,1,0,0,1,2,3924.0,-5,-5,0,0.29,4,1.0
Adventure Awaits,0,0,0,1,0,0,0,0,2.0,2020,2020,1.0,0,0,0,0,1,1,1,1,1,1,1,0,0,4,19022.0,-5,-5,0,0.22,2,1.0
Adventurers' Guildhouse,0,0,0,0,1,0,0,0,0.0,1994,1994,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,13258.0,-5,-5,1,4.58,2,1.0
Adventuring Gear,0,0,0,0,0,0,0,1,1.0,2009,2009,1.0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,7607.0,-5,-5,0,0.22,2,1.0
Adventurous Impulse,0,0,0,1,0,0,0,0,1.0,2018,2020,3.0,0,0,0,0,1,1,1,1,1,1,1,0,1,4,5318.0,-5,-5,0,0.05,2,1.0
Adverse Conditions,0,0,1,0,0,0,0,0,4.0,2015,2015,1.0,0,1,0,0,0,0,1,1,1,1,0,0,0,3,11783.0,-5,-5,0,0.13,2,1.0
Advice from the Fae,0,0,0,1,0,0,0,0,6.0,2008,2008,1.0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,11531.0,-5,-5,0,0.18,2,1.0
Advocate of the Beast,0,1,0,0,0,0,0,0,3.0,2013,2013,1.0,0,0,0,0,1,0,1,1,1,1,1,0,0,4,12855.0,2,2,0,0.11,1,1.0
Aegis Automaton,0,1,0,0,0,0,0,1,2.0,2017,2017,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,12425.0,0,0,0,0.03,2,1.0
Aegis Turtle,0,1,0,0,0,0,0,0,1.0,2020,2020,2.0,0,1,0,0,0,1,1,1,1,1,1,0,1,4,13372.0,0,0,0,0.02,7,1.0
Aegis of Honor,0,0,0,0,0,1,0,0,1.0,2001,2001,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,12403.0,-5,-5,0,0.8,2,1.0
Aegis of the Gods,0,1,0,0,0,1,0,0,2.0,2014,2014,1.0,1,0,0,0,0,0,1,1,1,1,0,0,0,2,2341.0,2,2,1,1.08,2,1.0
Aegis of the Heavens,0,0,1,0,0,0,0,0,2.0,2018,2020,2.0,1,0,0,0,0,0,1,1,1,1,0,0,1,3,8761.0,-5,-5,0,0.13,7,1.0
Aegis of the Meek,0,0,0,0,0,0,0,1,3.0,1995,1995,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,20225.0,-5,-5,0,0.4,2,1.0
Aeolipile,0,0,0,0,0,0,0,1,2.0,1994,1994,1.0,0,0,0,0,0,0,1,0,0,1,1,1,1,4,17175.0,-5,-5,1,1.12,4,1.0
Aeon Chronicler,0,1,0,0,0,0,0,0,5.0,2007,2016,3.0,0,1,0,0,0,0,1,1,0,1,0,0,1,2,4863.0,-3,-3,0,0.18,3,0.0
Aeon Engine,0,0,0,0,0,0,0,1,5.0,2019,2019,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,8433.0,-5,-5,0,0.14,3,0.0
Aerathi Berserker,0,1,0,0,0,0,0,0,5.0,1994,1994,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,18581.0,2,2,1,1.64,2,1.0
Aerial Assault,0,0,0,1,0,0,0,0,3.0,2019,2020,2.0,1,0,0,0,0,0,1,1,1,1,1,0,1,4,10011.0,-5,-5,0,0.05,7,1.0
Aerial Caravan,0,1,0,0,0,0,0,0,6.0,1999,1999,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,19701.0,4,4,0,0.25,2,1.0
Aerial Engineer,0,1,0,0,0,0,0,0,4.0,2018,2018,1.0,1,1,0,0,0,0,1,1,1,1,0,0,0,3,16095.0,2,2,0,0.05,1,1.0
Aerial Formation,0,0,1,0,0,0,0,0,1.0,2014,2014,1.0,0,1,0,0,0,0,1,1,1,1,1,0,0,4,13907.0,-5,-5,0,0.07,2,1.0
Aerial Guide,0,1,0,0,0,0,0,0,3.0,2017,2017,1.0,0,1,0,0,0,0,1,1,1,1,1,0,0,4,15132.0,2,2,0,0.06,2,1.0
Aerial Maneuver,0,0,1,0,0,0,0,0,2.0,2013,2013,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,14946.0,-5,-5,0,0.06,2,1.0
Aerial Modification,0,0,0,0,0,1,0,0,5.0,2017,2017,1.0,1,0,0,0,0,0,1,1,1,1,0,0,0,3,7561.0,-5,-5,0,0.06,2,1.0
Aerial Predation,0,0,1,0,0,0,0,0,3.0,2012,2017,2.0,0,0,0,0,1,0,1,1,1,1,1,0,1,4,13985.0,-5,-5,0,0.06,4,1.0
Aerial Responder,0,1,0,0,0,0,0,0,3.0,2016,2020,4.0,1,0,0,0,0,0,1,1,1,1,0,0,1,3,3589.0,2,2,0,0.11,3,0.0
Aerial Volley,0,0,1,0,0,0,0,0,1.0,2015,2015,1.0,0,0,0,0,1,0,1,1,1,1,1,0,0,4,14424.0,-5,-5,0,0.11,1,1.0
